"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_1240537"	151.10538125	158.9071625	108.506135625	125.29280625	109.70716625	137.7085625	121.66337125	147.95994375	141.4040875	152.60274375	144.1759875	166.962625	137.14124375	139.96889375	119.9140375	134.02605
"ILMN_2727893"	1911.486125	1993.1465	1907.0588125	1881.095125	1972.582	2028.299	2046.6180625	1872.962125	2072.523875	1963.29175	2302.7791875	2072.523875	1996.4138125	2209.1385	2084.294625	1759.0605
"ILMN_2746968"	2072.523875	2302.7791875	2166.2265	2091.78225	2376.677125	2506.3018125	1929.466625	2247.425625	2046.6180625	2224.8838125	2119.2700625	2362.171375	2277.43625	2155.87075	2224.8838125	2072.523875
"ILMN_2607196"	1154.7735125	1014.6866125	1120.43725	1043.453	972.88915625	1047.2555875	1028.589375	905.71059375	1005.12975	1050.24421875	1172.46564375	1229.01768125	1003.6911625	1143.343875	963.9681375	927.3898375
"ILMN_1235939"	119.9140375	142.93508125	136.5366125	117.95385375	143.192725	127.81891875	141.99598125	104.32323125	131.36425	98.90738875	136.65300625	143.70768125	147.95994375	127.65724375	123.36474375	114.09009
"ILMN_2621882"	6893.8591875	7039.666875	6591.0685	7039.666875	7943.6365	7156.718625	7039.666875	7860.3515625	7601.73825	7726.9431875	7156.718625	5657.804625	7662.624	6859.5449375	7943.6365	7507.8775625
"ILMN_2630756"	365.3517	387.69631875	347.0615875	394.8399375	334.29151875	345.94235	344.2765125	366.36539375	406.37385625	385.809775	422.79503125	360.18498125	356.33750625	366.8555625	330.29816875	456.1551125
"ILMN_2613696"	515.81448125	420.8278625	494.461675	431.14796875	442.4851375	492.403675	508.08930625	454.06344375	482.94526875	519.3563625	379.94990625	482.94526875	496.31449375	456.8246	504.200175	509.03734375
"ILMN_2682218"	7507.8775625	7601.73825	6927.059125	8150.200625	8300.5935625	6962.8776875	6927.059125	8452.9129375	8548.0080625	7601.73825	8150.200625	7156.718625	7507.8775625	8388.05225	8548.0080625	6998.21
"ILMN_2621862"	444.228375	345.94235	403.70125625	288.99533125	334.72335625	302.8226125	379.94990625	262.8041375	263.842925	361.4595125	327.28765625	383.01348125	378.65840625	319.967375	273.6787	416.80261875
"ILMN_2625458"	1929.466625	1791.22925	1346.2142	1440.297625	1186.45541875	2078.4186875	1784.87	1685.458625	1378.9131875	1013.32305625	1840.8434375	2105.761875	1643.147375	1794.4246875	1479.4730625	1722.9694375
"ILMN_2771219"	18760.23	15936.1675	12255.4739375	9511.48625	10885.485125	13513.015	15936.1675	9593.003	9839.07575	12136.5934375	14129.805625	14639.404375	15936.1675	14639.404375	10165.8596875	11891.49075
"ILMN_2599412"	1145.2287125	1229.01768125	1151.0470375	1369.23980625	1405.81893125	1346.2142	1307.1524375	1643.147375	1226.22256875	1249.08265625	1147.48524375	1274.3487	1344.11956875	1011.69045	1364.5571875	1590.64425
"ILMN_1259294"	1099.7499	928.80734375	967.52325625	978.18965625	996.23235625	1043.453	884.5969875	899.8158	963.9681375	913.892975	974.65268125	1110.04635625	887.8875125	1036.73783125	910.59219375	884.5969875
"ILMN_1216426"	618.6698125	511.37675625	690.5415875	713.8766125	531.27466875	548.52860625	482.94526875	604.86969375	684.94580625	591.9939625	597.8765375	565.9701	571.902025	709.83329375	713.8766125	601.505725
"ILMN_1245673"	5511.9364375	4973.2094375	4472.218125	5033.8555	4596.538125	5127.310375	5156.838125	4904.36175	4789.1378125	4660.884	6058.9016875	5127.310375	5603.8941875	5387.1456875	4708.9626875	4879.8963125
"ILMN_2958076"	10493.2706875	10885.485125	11009.9565	12961.611375	13513.015	12022.1184375	12022.1184375	13172.297875	13718.9189375	12435.84	12601.4119375	10493.2706875	12435.84	13965.5400625	13513.015	11185.0796875
"ILMN_2767227"	1314.895575	1065.3506625	1226.22256875	1401.06855	1346.2142	1207.328275	1133.63441875	1442.690875	1318.56764375	1428.524	1334.8682125	1122.60583125	1226.22256875	1237.6670125	1426.4050625	1226.22256875
"ILMN_2634338"	2724.67725	2989.498	3343.441125	2943.34825	2814.803375	2563.022875	2697.970125	3270.1041875	3226.965	2912.180875	2453.9114375	2788.859125	2325.9018125	2989.498	3320.2390625	2961.6290625
"ILMN_1236123"	333.38666875	348.8210375	318.1763625	293.51820625	342.73308125	332.81544375	354.72424375	269.7045375	307.39310625	322.47270625	360.73080625	318.1763625	368.29223125	352.2032125	292.9288	283.7978875
